,X0,X1,X2,X3,X4,T,y,tau,b,e
0,0.003154181,0.402129525,0.58203695,0.539143983,0.414101433,0,0.743337384,0.202641853,0.763639573,0.1
1,0.594772951,0.034123284,0.250783087,0.094228746,0.148447261,0,0.598363577,0.314448117,0.35638785,0.1
2,0.40310172,0.95246392,0.887029364,0.141932206,0.376223785,1,3.017078856,0.67778282,1.563889125,0.9
3,0.177168888,0.367340166,0.704904186,0.043880705,0.904914417,0,0.342601976,0.272254527,0.783346601,0.203037236
4,0.492973143,0.030507397,0.002244101,0.535752114,0.489047078,0,-0.50145845,0.26174027,1.323027387,0.1
5,0.192041806,0.918770263,0.78720785,0.660169513,0.809767443,0,3.280620257,0.555406034,1.756386535,0.526356602
6,0.353435647,0.204341794,0.742274645,0.616089178,0.646120113,0,0.950531119,0.27888872,1.281492618,0.224949376
7,0.596029552,0.702092587,0.470281546,0.032491808,0.985717389,1,0.024958382,0.649061069,1.494491843,0.9
8,0.304145542,0.266291125,0.136247392,0.341525769,0.767380158,0,0.591510229,0.285218333,1.241552738,0.25170497
9,0.934907088,0.116930379,0.197437433,0.262376489,0.171923352,0,0.789052626,0.525918734,0.868150701,0.336724323
10,0.531762628,0.694917921,0.664648998,0.491124566,0.642039433,1,2.455325102,0.613340275,1.783531813,0.9
11,0.911374714,0.059911715,0.641153813,0.784440748,0.358543615,0,2.196848762,0.485643214,1.174258653,0.170697299
12,0.463013614,0.428311514,0.496712608,0.598463876,0.425246607,1,-0.044751933,0.445662564,1.394600838,0.583492045
13,0.802461957,0.529815967,0.886662282,0.69011542,0.856657727,1,2.770312429,0.666138962,2.389944784,0.9
14,0.948373138,0.483287404,0.645324299,0.384858523,0.151501797,1,2.458159665,0.715830271,1.494294004,0.9
15,0.736514151,0.977858263,0.862109675,0.647255119,0.302130216,0,1.088201612,0.857186207,1.830666723,0.770099662
16,0.697837318,0.118410062,0.714754253,0.383224967,0.525903194,0,0.875215121,0.40812369,0.995102376,0.256687033
17,0.878962355,0.936326795,0.805504035,0.041335745,0.95810999,1,0.430768419,0.907644575,1.234912341,0.527856171
18,0.458168787,0.498661463,0.145032731,0.235011278,0.567608019,1,-0.073863967,0.478415125,1.428520185,0.657701374
19,0.31535603,0.945761344,0.765696751,0.295345318,0.852682517,0,2.853302704,0.630558687,1.66865224,0.805776136
